案類,發生日期,發生地點
搶奪,0930819 1905,台中市西屯區精明二街34號
搶奪,0930820 2240,台中市北屯區瀋陽北路10號
搶奪,0930821 1140,台中市西區存中路6號
搶奪,0930821 1500,台中市西區向上北路284巷8號
搶奪,0930821 1530,台中市西區五權西路
搶奪,0930821 1600,台中市南屯區精誠南路豐樂公園
搶奪,0930821 1850,台中市西屯區西屯路2段259號之3
搶奪,0930822 0010,台中市西屯區重慶路成都路口
搶奪,0930822 0025,台中市中區民族路247號
搶奪,0930822 0100,台中市南屯區河南路與向上路口
搶奪,0930822 0550,台中市西屯區大鵬里三和一巷1弄13號
搶奪,0930822 0830,台中市北屯區益華街
搶奪,0930822 1530,台中市西區大隆精誠路
搶奪,0930822 1530,台中市西區館前路26號
搶奪,0930823 0930,台中市北屯區中清路新平巷口弄
搶奪,0930823 1015,台中市中區中山路199號
搶奪,0930823 1115,台中市東區建國路230號前樓
搶奪,0930823 1200,台中市西區向上北路220號
搶奪,0930823 1430,台中市北屯區南京東路3段155號
搶奪,0930823 1450,台中市南屯區東興路與大墩十二街
搶奪,0930823 1510,台中市西屯區天水中街75號對面
搶奪,0930823 1550,台中市北區五順街50號
搶奪,0930823 1615,台中市西區英才昇平路
搶奪,0930823 1620,台中市北屯區遼寧路松明街口
搶奪,0930823 2000,台中市西屯區河南路上安路口
搶奪,0930823 2315,台中市北區天津路2段30巷
搶奪,0930824 0035,台中市中區中華路1段195號
搶奪,0930824 1400,台中市北區永興街298巷
搶奪,0930824 1530,台中市西區五權成功路
搶奪,0930824 1830,台中市北屯區中清路13巷50弄10號
搶奪,0930824 1910,台中市西區美村路73號
搶奪,0930824 2000,台中市北區雙十.育才路口
搶奪,0930824 2242,台中市南區南門里南門路75號三信銀行提款機
搶奪,0930824 2310,台中市西屯區文華路217巷
搶奪,0930825 1510,台中市東區進化路221巷1-6號前樓
搶奪,0930825 1900,台中市北區永興街77號
搶奪,0930825 2110,台中市西區民族路333號
搶奪,0930826 0440,台中市中區公園大誠路
搶奪,0930826 1130,台中市西區自由與民族路口
搶奪,0930826 1320,台中市北區梅亭.華信
搶奪,0930826 1410,台中市北屯區長生巷4-23號
搶奪,0930826 1430,台中市北屯區昌平一路200號
搶奪,0930826 1520,台中市西區五權西屯路
搶奪,0930826 1730,台中市西區大仁.西屯路
搶奪,0930826 1745,台中市北區漢口山西路
搶奪,0930826 1950,台中市西屯區大有街大有二街口
搶奪,0930826 2100,台中市東區進德二街與進德路口
搶奪,0930826 2250,台中市北區一中.育才街
搶奪,0930827 0920,台中市東區自強街31巷28號
搶奪,0930827 0940,台中市北區漢口.永興路
搶奪,0930827 1100,台中市中區民權路與自由路口
搶奪,0930827 1110,台中市中區民族與柳川東路口
搶奪,0930827 1120,台中市北區大雅路62號
搶奪,0930827 1420,台中市西區中美路321號
搶奪,0930827 2025,台中市北屯區旅順路1段256號
搶奪,0930827 2100,台中市西屯區福星路669號
搶奪,0930827 2100,台中市西屯區河南路市政北六路口
搶奪,0930828 0010,台中市西區中興明義路
搶奪,0930828 0100,台中市西區柳川東路2段131號
搶奪,0930828 0410,台中市北區大雅英才路口
搶奪,0930828 0415,台中市北區大雅路452號
搶奪,0930828 0600,台中市西屯區朝馬三街32號
搶奪,0930828 1030,台中市西區公正中美路
搶奪,0930828 1210,台中市西區後龍路57號
搶奪,0930828 1305,台中市中區成功路228巷4號
搶奪,0930828 1310,台中市西區中港路1段199巷
搶奪,0930828 1330,台中市西屯區大洲街27號
搶奪,0930828 1650,台中市西區中港路283巷5號
搶奪,0930828 1720,台中市西區公益路124巷31號
搶奪,0930828 1800,台中市西屯區太原路華美西街口
搶奪,0930828 1930,台中市西區民權路225巷
搶奪,0930828 1930,台中市西區公益精誠路
搶奪,0930828 2110,台中市北區英才.五常街口
搶奪,0930828 2230,台中市西區公益路中美街口
搶奪,0930828 2305,台中市北屯區雷中街38巷
搶奪,0930828 2315,台中市西區五權西路
搶奪,0930828 2315,台中市西區五權西路美術館前
搶奪,0930829 0430,台中市北屯區漢口路5段128號
搶奪,0930829 0430,台中市西屯區青海路2段204號
搶奪,0930829 0836,台中市東區大勇街與信義街口
搶奪,0930829 1830,台中市南屯區大墩12街與大昌街口
搶奪,0930829 2216,台中市西區中港中美路
搶奪,0930829 2230,台中市中區成功路
搶奪,0930829 2245,台中市北區育才街35號
搶奪,0930830 0945,台中市中區中華公園路
搶奪,0930830 1000,台中市南區文林街18巷7號前樓
搶奪,0930830 1016,台中市西區英才自治路
搶奪,0930830 1140,台中市東區干城里新民街69號對面
搶奪,0930830 1150,台中市北區學士.美德街口
搶奪,0930830 1150,台中市西屯區逢甲路73號
搶奪,0930830 1210,台中市西屯區西屯路2段269號之2
搶奪,0930830 1300,台中市北區英士路50號
搶奪,0930830 1319,台中市北區五權路332號
搶奪,0930830 2035,台中市北區天津二段北平路口
搶奪,0930831 0130,台中市南屯區中蔗路與工業37路口
搶奪,0930831 0700,台中市南區文心南路641號西歐加油站
搶奪,0930831 0830,台中市南屯區黎明路與文昌街口
搶奪,0930831 1230,台中市北區學士路210號
搶奪,0930831 1600,台中市南屯區南屯路2段329號
搶奪,0930831 1750,台中市中區柳川  西路5巷
搶奪,0930831 2015,台中市西區像上北美村路
搶奪,0930901 0110,台中市西屯區文心路西屯路口
搶奪,0930901 1150,台中市北區太平.一中街口
搶奪,0930901 1200,台中市北屯區東山路1段146號
搶奪,0930901 1220,台中市北屯區文心路河北路
搶奪,0930901 1300,台中市北屯區軍和街129號
搶奪,0930901 1340,台中市北屯區文昌東十街天津路口
搶奪,0930901 1445,台中市北區雙十.育才街口
搶奪,0930901 1830,台中市東區東南里十甲路29號前樓
搶奪,0930901 1955,台中市北屯區天津路3段179號
搶奪,0930901 2000,台中市北區梅亭五常街口
搶奪,0930901 2010,台中市東區新庄里大公街29號前樓
搶奪,0930901 2010,台中市北屯區北屯路親親戲院旁
搶奪,0930901 2100,台中市西區中美路461號
搶奪,0930901 2100,台中市北區五權中友停車場
搶奪,0930901 2130,台中市東區大智路德安百貨公司前
搶奪,0930901 2200,台中市北區雙十.體育學院前
搶奪,0930902 0340,台中市西區存中美村路
搶奪,0930902 0725,台中市西區中港華美西路
搶奪,0930902 0822,台中市北區博館東街23號
搶奪,0930902 0855,台中市西區華美西路139號
搶奪,0930902 0855,台中市北區北平路32號之1
搶奪,0930902 1100,台中市西區中興二路23號
搶奪,0930902 1807,台中市北屯區遼寧路59巷37號
搶奪,0930903 0320,台中市中區成功路203號
搶奪,0930903 0430,台中市中區成功路190號
搶奪,0930903 0810,台中市南屯區大墩三街與大墩東街口
搶奪,0930903 1200,台中市北區尊賢街6號
搶奪,0930903 1430,台中市西區公益與中興街口
搶奪,0930903 1500,台中市北區自由、公園
搶奪,0930903 1520,台中市南區信義南街與民意街口
搶奪,0930903 1630,台中市北區五常、健行
搶奪,0930903 1845,台中市西屯區青海路漢口路口
搶奪,0930903 1900,台中市西區健行博館路
搶奪,0930903 1955,台中市北區精武路326號
搶奪,0930903 1955,台中市中區公園中華路
搶奪,0930904 0110,台中市北屯區漢口路柳陽西街
搶奪,0930904 0110,台中市西區華美長春路
搶奪,0930904 0140,台中市北屯區昌平路2段4巷松文街口
搶奪,0930904 0710,台中市西屯區文心路台中港路口
搶奪,0930904 1620,台中市西屯區惠來路市政北二路口
搶奪,0930904 1805,台中市中區中正興中路
搶奪,0930904 1925,台中市南屯區五權西路2段220號
搶奪,0930904 2140,台中市北區太原四、太原八
搶奪,0930904 2303,台中市西屯區慶和街43號
搶奪,0930905 1530,台中市北屯區旅順路2段72號
搶奪,0930905 1905,台中市北屯區昌平路1段97號之7
搶奪,0930906 1415,台中市北屯區大連北路106巷口弄
搶奪,0930906 1740,台中市北屯區軍和街105號
搶奪,0930906 1950,台中市北區益華街6號
搶奪,0930907 0300,台中市中區成功路原子街口
搶奪,0930907 0430,台中市西屯區文心路市政北一路口
搶奪,0930907 1200,台中市北屯區梅川東路5段126號
搶奪,0930907 1200,台中市北屯區旱溪東路42-1號
搶奪,0930907 1250,台中市南屯區大英街與向上路口
搶奪,0930907 2140,台中市北屯區文心路4段153號
搶奪,0930908 0115,台中市北區梅亭.大德街口
搶奪,0930908 0720,台中市西區明義路76巷
搶奪,0930908 0930,台中市東區南京路與雙十路口
搶奪,0930908 1010,台中市西區模範路23巷10號
搶奪,0930908 1315,台中市北區美德.永興路口
搶奪,0930908 1420,台中市學士.美德街口
搶奪,0930908 1430,台中市北區育德.五常路口
搶奪,0930908 1510,台中市西區光復雙十路
搶奪,0930909 0900,台中市南區福新街9號前樓
搶奪,0930909 1045,台中市北屯區漢口文昌東六路
搶奪,0930909 1250,台中市北屯區松竹路四平路
搶奪,0930909 1340,台中市北區永興街299號
搶奪,0930909 1600,台中市中區自由路2段
搶奪,0930909 1610,台中市南區忠孝路196-1號
搶奪,0930910 1105,台中市東區復興路五段與自由一街
搶奪,0930910 1510,台中市北區文心路4段232號
搶奪,0930910 1525,台中市北區一中街9號
搶奪,0930910 1710,台中市西區樂群四維路
搶奪,0930911 0230,台中市西區美村路1段560號
搶奪,0930911 0830,台中市南屯區大進街79號
搶奪,0930911 0940,台中市中區成功三民路
搶奪,0930911 1020,台中市北區青島西街47號
搶奪,0930911 1100,台中市北區進化路571號
搶奪,0930911 1205,台中市西區館前路
搶奪,0930911 1600,台中市北區進化北.五常街口
搶奪,0930911 1755,台中市北區博館一街52號
搶奪,0930911 2000,台中市北屯區大連西路19號
搶奪,0930911 2130,台中市西屯區台中港路惠中路口
搶奪,0930912 1900,台中市北區德化街123號
搶奪,0930912 1950,台中市北屯區文昌東六街漢口路
搶奪,0930912 2124,台中市西屯區青海路重慶路口
搶奪,0930912 2130,台中市西屯區青海路重慶路口
搶奪,0930913 0510,台中市南屯區大業路320號
搶奪,0930913 1030,台中市南區忠明南路與復興路口
搶奪,0930913 1055,台中市北區永興街12號
搶奪,0930913 1130,台中市西屯區朝富路台汽客運車站前
搶奪,0930913 1300,台中市北區進化北路
搶奪,0930913 1740,台中市北區華興街
搶奪,0930914 1040,台中市北區學士.健行路口
搶奪,0930914 1130,台中市西區大全路
搶奪,0930914 1200,台中市北區大雅路315巷
搶奪,0930914 1750,台中市西屯區漢口路寧漢三街口
搶奪,0930915 1200,台中市中區柳川路中正路口
搶奪,0930915 1210,台中市北區天津路1段155號
搶奪,0930915 2130,台中市北屯區修齊巷61弄16號
搶奪,0930915 2200,台中市北屯區柳楊東街68巷口弄
搶奪,0930915 2323,台中市西屯區青海路源通巷口
搶奪,0930916 1140,台中市南屯區黎明路與南光路口
搶奪,0930916 1402,台中市西屯區河南路青海路口
搶奪,0930916 1440,台中市西屯區太原路1段203號
搶奪,0930916 1450,台中市南區南平路與美村路口
搶奪,0930916 1540,台中市西區中興路
搶奪,0930916 1620,台中市南區新華街22巷
搶奪,0930916 2100,台中市南屯區黎明路2段291號
搶奪,0930916 2100,台中市北區一中街21號
搶奪,0930916 2115,台中市西區精誠六路
搶奪,0930917 0420,台中市北屯區松竹路四平路口
搶奪,0930917 1030,台中市西區林森路27巷1號
搶奪,0930917 1330,台中市北區尊賢、育才
搶奪,0930917 1345,台中市西區中港路1段
搶奪,0930917 1345,台中市中區中港路199巷
搶奪,0930917 1820,台中市北屯區大連路2段251號
搶奪,0930918 0535,台中市東區長福東英七街口
搶奪,0930918 0540,台中市北屯區崇德五路60號1樓
搶奪,0930918 0618,台中市西屯區大鵬路132巷2弄
搶奪,0930918 1035,台中市西屯區惠來路市政北七路口
搶奪,0930918 1130,台中市東區雙十路南京路口
搶奪,0930918 1530,台中市中區自由成功路
搶奪,0930918 1810,台中市東區復興路5段172號
搶奪,0930918 1840,台中市北區大雅.文武路口
搶奪,0930919 0010,台中市南區忠孝路135-3號前
搶奪,0930919 0055,台中市北區太平路83巷
搶奪,0930919 0300,台中市北區健行路482號
搶奪,0930919 1200,台中市北屯區梅川東路漢口路
搶奪,0930919 1700,台中市南屯區大墩六街與大英西街口
搶奪,0930919 1840,台中市北區學士路300號
搶奪,0930920 0330,台中市西屯區福星路666號
搶奪,0930920 1040,台中市中區中正路175號
搶奪,0930920 1430,台中市西區華美西路3號
搶奪,0930920 1450,台中市北區太平路57號
搶奪,0930920 2110,台中市北屯區平德路1巷7號
搶奪,0930920 2150,台中市北屯區中清路74巷9號
搶奪,0930920 2200,台中市西屯區中康街152號
搶奪,0930921 0045,台中市北區三民路3段50-號之21
搶奪,0930921 1040,台中市南屯區黎明路與南興巷口
搶奪,0930921 1300,台中市西區華美西路135號
搶奪,0930921 1420,台中市北屯區國校路北興路
搶奪,0930921 1420,台中市西屯區重慶路358號
搶奪,0930921 1450,台中市西區博館三路
搶奪,0930922 0340,台中市東區富仁里28鄰練武路133巷4號前樓
搶奪,0930922 0515,台中市北屯區昌平路崇德二路口
搶奪,0930922 1200,台中市東區自由路3段159號
搶奪,0930922 1320,台中市西區大明街與民生路口
搶奪,0930922 1445,台中市東區東興里台中路257號前樓
搶奪,0930922 1522,台中市東區新庄里立德街31號前樓
搶奪,0930922 1700,台中市北屯區崇德路松竹路口
搶奪,0930923 0110,台中市北區健行.尚德
搶奪,0930923 0350,台中市西屯區湳仔巷9-7號
搶奪,0930923 0400,台中市西區博館路105號
搶奪,0930923 0530,台中市北區太原路與綏遠路口
搶奪,0930923 1100,台中市南屯區公益路與大英街口
搶奪,0930923 1205,台中市北屯區松竹路2段86弄口號
搶奪,0930923 1715,台中市西屯區福林里西屯路福康路口
搶奪,0930923 1820,台中市東區大勇街85號前樓
搶奪,0930923 2310,台中市南區忠孝路與合作街口
搶奪,0930924 0620,台中市北屯區熱河路2段126號
搶奪,0930924 0820,台中市西區中興與明義街口
搶奪,0930924 1040,台中市南屯區南光路45巷30號
搶奪,0930924 1045,台中市南屯區大墩路與五權西路口
搶奪,0930924 1115,台中市西區美村與向上北路口
搶奪,0930924 1500,台中市南區美村路二段與福德街口
搶奪,0930924 1540,台中市北屯區大連路3段52號
搶奪,0930924 1550,台中市西區民權與建國路口
搶奪,0930924 1640,台中市北屯區文心路梅川東路口
搶奪,0930924 2020,台中市南區城隍里忠孝路與正氣街口
搶奪,0930924 2110,台中市西屯區台中港路黎明路口
搶奪,0930924 2230,台中市北區健行.永興街口
搶奪,0930925 0925,台中市西屯區漢成六街46號
搶奪,0930925 1130,台中市西屯區重慶路大仁國小旁
搶奪,0930925 1145,台中市北區一中街143號
搶奪,0930925 1145,台中市西區四維路
搶奪,0930925 1730,台中市北區育才北路58號
搶奪,0930925 2010,台中市北區中山路434號
搶奪,0930926 0410,台中市西屯區文心路華美西街口
搶奪,0930926 0630,台中市北屯區興安路1段128巷7號
搶奪,0930926 0720,台中市西區向上路1段
搶奪,0930926 1101,台中市北屯區橋孝街32巷8號
搶奪,0930926 1130,台中市東區自由路3段203號前樓
搶奪,0930926 1145,台中市北區健行.德化街口766巷
搶奪,0930926 1500,台中市南區復興路3段499號前樓
搶奪,0930926 2130,台中市西屯區文心路大隆路口
搶奪,0930927 0709,台中市西屯區四川五街27號
搶奪,0930927 0930,台中市北屯區柳陽東街45號
搶奪,0930927 1030,台中市西區模範路38-1號
搶奪,0930927 1330,台中市東區進化路89號
搶奪,0930927 1455,台中市北區學士.英才路口
搶奪,0930927 1600,台中市北區雙十.自由路口
搶奪,0930927 1640,台中市北屯區遼陽五街遼陽北一街口
搶奪,0930927 1700,台中市西區忠明與博館路口
搶奪,0930927 2000,台中市北屯區育才北街
搶奪,0930928 0400,台中市西屯區惠來路2段240號之3
搶奪,0930928 1230,台中市北區大雅.梅亭街口
搶奪,0930928 1540,台中市東區大勇街與和平街口
搶奪,0930928 1945,台中市中區三民與福音街口
搶奪,0930928 2105,台中市西屯區台中港路中工三路口
搶奪,0930928 2130,台中市西區忠誠與美村路口
搶奪,0930928 2200,台中市中區民族與綠川西路口
搶奪,0930929 1000,台中市中區中正與建國路口
搶奪,0930929 1220,台中市西區大業北路
搶奪,0930929 1340,台中市西區公正中美路
搶奪,0930929 1508,台中市西區大進路
搶奪,0930929 1520,台中市北屯區文心路3段1043號
搶奪,0930929 1540,台中市南屯區向心路與大墩路口
搶奪,0930929 1630,台中市西區民權路
搶奪,0930929 2205,台中市南屯區大墩四街332號
搶奪,0930930 0435,台中市西區南屯路1段
搶奪,0930930 0600,台中市北屯區梅川東路5段128號
搶奪,0930930 0840,台中市北屯區熱河路2段201號
搶奪,0930930 1020,台中市西屯區大鵬路50號
搶奪,0930930 1230,台中市北屯區崇德路2段55號B1樓
搶奪,0930930 1330,台中市南屯區大隆路與大進街口
搶奪,0930930 1400,台中市北區育才北路75號
搶奪,0930930 1440,台中市北區五權路356號
搶奪,0930930 1650,台中市北區太原.榮華街口
搶奪,0930930 2050,台中市西屯區河南路甘肅路口
搶奪,0930930 2105,台中市南屯區黎明東街481號
搶奪,0930930 2135,台中市西屯區河南路福上巷口
搶奪,0931001 0840,台中市中區三民路2段148號
搶奪,0931001 1100,台中市北屯區旅順路2段420號
搶奪,0931001 1510,台中市西屯區文心路永輝路口
搶奪,0931001 1545,台中市北區中華路2段179號之2
搶奪,0931001 1600,台中市西區忠明與華美街口
搶奪,0931001 1605,台中市東區台中路203號前樓
搶奪,0931001 1645,台中市北區五權路500巷1號
搶奪,0931001 1930,台中市西區南屯路1段142號
搶奪,0931002 0500,台中市北屯區昌平路崇德路口
搶奪,0931002 0915,台中市北區育德.民權路口
搶奪,0931002 0920,台中市南屯區萬和路1段67號
搶奪,0931002 0930,台中市北屯區北屯路163號
搶奪,0931002 1700,台中市北區雙十.育樂街口
搶奪,0931002 1900,台中市西屯區河南路西屯路口
搶奪,0931002 2025,台中市南屯區向上路與河南路
搶奪,0931002 2140,台中市西屯區大墩18街大容東街口
搶奪,0931002 2145,台中市西屯區大墩17街大容東街口
搶奪,0931002 2300,台中市西屯區大墩19街大進街口
搶奪,0931003 0545,台中市北屯區文昌東六街漢口路
搶奪,0931003 0630,台中市北區五權.大雅路口
搶奪,0931003 0920,台中市西區博館三路
搶奪,0931003 1700,台中市西區華美路
搶奪,0931004 0815,台中市北屯區瀋陽路3段127號
搶奪,0931004 0855,台中市北屯區瀋陽五街瀋陽路
搶奪,0931004 1020,台中市西區中港路
搶奪,0931004 1100,台中市北區英才路220號
搶奪,0931004 1150,台中市西區精誠路
搶奪,0931004 1200,台中市北屯區山西路372號之1
搶奪,0931004 1305,台中市北屯區中清路110號之67
搶奪,0931004 1315,台中市西屯區台中港路2段84號
搶奪,0931004 1550,台中市北區大湖街37號
搶奪,0931004 1655,台中市南區復興路1段207巷17號前樓
搶奪,0931004 1810,台中市西區五權西路
搶奪,0931004 1815,台中市西區日興路
搶奪,0931004 2000,台中市西區自由路
搶奪,0931004 2340,台中市中區雙十路
搶奪,0931005 0825,台中市北區漢口路3段172號
搶奪,0931005 1140,台中市西區忠誠路
搶奪,0931005 1220,台中市北區忠明路446號
搶奪,0931005 1420,台中市西區中美路
搶奪,0931005 1430,台中市北區太平路84號
搶奪,0931005 1600,台中市中區民權路
搶奪,0931005 1920,台中市西區美村路
搶奪,0931005 2020,台中市北區健行.尚德街口
搶奪,0931006 1020,台中市東區干城里南京路141號前樓
搶奪,0931006 1150,台中市北區美德.華中街口
搶奪,0931006 1500,台中市南屯區大墩六街255號
搶奪,0931006 1830,台中市西屯區中平路241號
搶奪,0931006 1900,台中市北屯區雷中街路2巷25號
搶奪,0931006 1900,台中市西區東興與大墩10街口
搶奪,0931006 1900,台中市西屯區文心路台中港路口
搶奪,0931007 0815,台中市北屯區大連路1段201號
搶奪,0931007 0835,台中市北區五常.柳川東路口
搶奪,0931007 0930,台中市中區民權與仁愛街口
搶奪,0931007 0950,台中市西屯區太原路寧夏路口
搶奪,0931007 1330,台中市西區博館三街28號
搶奪,0931007 1430,台中市西區民權與中港路口
搶奪,0931007 1435,台中市南屯區大墩七街與黎明東街口
搶奪,0931007 1515,台中市西區大墩路356號
搶奪,0931007 1615,台中市北屯區松義街119號
搶奪,0931008 0910,台中市南區南門路35號前樓
搶奪,0931008 1030,台中市北區大雅路231號
搶奪,0931008 1110,台中市東區南京四街與南京五街口
搶奪,0931008 1110,台中市東區大智路與建新街口
搶奪,0931008 1221,台中市南屯區文心南路279號
搶奪,0931008 1518,台中市西屯區文華路17-1號
搶奪,0931008 1540,台中市東區南京路與建國路口
搶奪,0931008 1730,台中市西屯區何福里漢口路河南路口
搶奪,0931009 0830,台中市東區復興路與公園東路口
搶奪,0931009 0920,台中市北區興進路76巷
搶奪,0931009 1250,台中市西區自立路25巷
搶奪,0931009 1330,台中市西屯區甘肅路2段74號
搶奪,0931009 1515,台中市西屯區台中港路漢口路口
搶奪,0931009 2130,台中市北屯區崇德六路23號
搶奪,0931009 2130,台中市北區進化路
搶奪,0931010 0915,台中市北區五權路390號
搶奪,0931010 1640,台中市北區育才北路27號
搶奪,0931010 1700,台中市北屯區太原路111巷口弄
搶奪,0931010 1800,台中市北屯區中清路60號
搶奪,0931010 1945,台中市南區忠孝路與濟世街口
搶奪,0931010 1950,台中市西屯區福星路西安街口
搶奪,0931010 2200,台中市北屯區崇德路瀋陽路口
搶奪,0931011 1010,台中市西區五權與三民西路口
搶奪,0931011 1510,台中市北區健行路462號
搶奪,0931011 1520,台中市北區漢口.文昌東三街
搶奪,0931011 1550,台中市西區林森與三民路口
搶奪,0931011 1900,台中市西屯區福雅路179巷36號
搶奪,0931011 2025,台中市南區城隍里民意街22號前樓
搶奪,0931011 2230,台中市西屯區逢甲路202號
搶奪,0931011 2300,台中市南區和平里美和街與新和街口
搶奪,0931011 2330,台中市北屯區進化北路3號
搶奪,0931012 0355,台中市南屯區大墩路與大業路
搶奪,0931012 1115,台中市北屯區柳楊東街119號
搶奪,0931012 1130,台中市中區成功路166號
搶奪,0931012 1555,台中市北屯區漢口路125號
搶奪,0931012 1620,台中市北屯區景賢八路230號
搶奪,0931013 0050,台中市西屯區西屯路逢甲路口
搶奪,0931013 1035,台中市北屯區陳平一街2號
搶奪,0931013 2100,台中市西區大業路12號
搶奪,0931013 2130,台中市北區五義.柳川東路口
搶奪,0931013 2244,台中市西屯區西屯路2段297-8巷43號
搶奪,0931014 1200,台中市西區向上英才路
搶奪,0931014 1256,台中市西區自治與大全街口
搶奪,0931014 1510,台中市西區綠川東街與建國路口
搶奪,0931014 1515,台中市南屯區忠勇路與文山街口
